"REPO_URL","TASK_ID","#HASHES","HASHES","#PROD_FILES","#TEST_FILES","LAST"
"https://github.com/oneclickorgs/one-click-orgs.git","82","51","[f28ac4237bd937e55ac61ba4e8ccd1b76f9c8b29, d1e123f0b2e2a4550c7625215d4c37cd30afe9f3, 2d8d94df703a5fb252717a07fde754d31e68483b, 64eed4788f102e3ca7b221071052b7e1b63b4d8c, 22db9a7e2d830efd2a6c9058f0d5f33d03031236, 7ccbbc1e83493edd71bab43a7137cb38813c0ffb, 3aee4b0ab9e9bc54b2666a965ecb58b6e0950a60, 9f83156bc7bf55351e24bf902fe28d5baa195266, dfadcdc06e8b062bc0ea7cac230f9b9e7589bb19, 848d3c6a47fda4bc3186c2e0a8d83b66c182b51f, f0d2dca928461d65d67bd2d440a5b27be0caf74b, 7a2052c74fe99846a4bbd0104c56195f8578cb89, a71de28a884595b51054cb043b731356513d283b, 7d91cff9423163942248bc9b036fa8e97d9aba6b, 5d53b93b9aba02d9277809dc74a407e6f5aab5f6, 76df81bd01b75d13b3d67d0a9a9f9bf8a1529476, bfb45cb0377783cd1dee54171acab7d92d4f7843, dee422eab25c022a6790d935d5b44097714c9f81, 5c26600831d9887104851286dabc9850ec2589d2, 98eedf7e72d941a0e27018bb600f4946158881a7, 3e1db95f6672e42cfc7c2f1f801313ae9dcf8d1b, a6182df17d1bbcfdca48754633b9db6222475c62, 84c0bef07401999407b6fa989f3d8cdffc9b0ebe, a3b531f78bc73b1546fec8f539ed8a000d1a72a9, 39b6732d547d3fe014cf17e6f16b0c10f6eb6a1b, d14970c11758b0828dc12d887bac55a3fe489068, d81b453479bf8488919ce61643c893f8df3f7c23, 6fcd4ed2ed536e0204e076104b231d16bab9cd46, b856fc8185f450791db93f4cd9487cee00a2ef4f, b48f1194783ef24671e7e11893381bce9db5e34d, 560524e33e34edcf2330088c943713a981cdc0a1, 278ac84d27b4298ebc1408c0a2e43d1ef6ca6bdc, b0b2065f62ccb5ae52e142834dd938cf590eaff5, 646e2857b4b669282cfd5eb4dc9680d8be1c37d6, 2435b686e888af5ac3746fd4688b3e3512845636, a9b5d2ea875b39b327c36407b393e55e55d70e70, b8cdc94abd780e3e988e94a9d95e4bbe4fe6e5b9, 810f8e2d15590bbb3bd01a8627f32d06d6e601db, 6048d89dcc33acdf1df66697db9e94d808a4299a, e832ca286eb17bcbc5d2efa218c06026af25c81a, 779a59c11abff8f9b67c02174901ce422aab2f7a, 36ac7ec3fc8bec36ec132175b442f321b26c82da, 607d8142e2b7ec30bb985739293eaac10dac01d8, cb1dcc0d857b622ec1fd8c52d0faedbf924c2082, c96d1fabf1a4fbeadd3b7a69309e09d46b8ae64b, efa5f34b65138076f57dc1a62538be35d5d7928d, bdf239d56d23c8feda3d4ca315125683a0f63a52, dbd52c410a9f12c2702b4a5ca6b465c836b0f4cc, 77c52a3406f5eefea89b0cd34687d025a792326d, 7d59c95f116ca1805553c5c8438b9fd2c1fd7921, 738264f6db637b7f76e43a817534d82b6570be98]","22","3","738264f6db637b7f76e43a817534d82b6570be98"
"https://github.com/oneclickorgs/one-click-orgs.git","89","17","[ab4f88e2f98a5879f2cfc733dc1c6ec99bf37e08, 789f87d0fc1402788d62dfcd14d8b3e027f5cfc4, 8c501304f610d77bc8b366c42ec47acd6bc635ec, 312ab58e30e19127f6b85c3110cc2f86909b62db, f7478e0bc611daf5fd2f4742979af6f9638c5a3b, 0cc17abda9d15a01d32d1c545b01579a7505e917, e79ce635a94d8f3ca6fa0421cb16320529b6f1b8, 83e3e190534ee967f050d3d2e37d0033eb5a5d9e, f32c3a56dd1e975810735fa16ebe527573f7639f, c091d7ff43829a082dd643e9d5226c74589c8b1f, 1e532796c979f135a4de4e1ca7531b639bda4732, 341f53d172aa074b86c551eb309dab6e69391e07, 13cd609d6a997f34063000091f9383dad3086149, d4f40cfaee2745e63c00a5cb3282850b40f539cc, a8dde1c43f4518a190d7611b2d494aeb9bc97d5e, e983f4f0762c692ca2e2a1ee2582ab04cef084da, e1267a61dffdb9876290e81d3e81572f3f2cb161]","8","2","e1267a61dffdb9876290e81d3e81572f3f2cb161"
"https://github.com/oneclickorgs/one-click-orgs.git","91","38","[950064818004245f6399015fc10836f422f59e8a, 489eab7865534940161de7cc0d117ea1772544bd, e71b69c80f9b64348303e3086f64c889c163447a, a4967721b011ad316ef39cbd81d7b9739e73490d, 16a9d050d034e8638fa09a92b51419a8f653e79e, a027917ed256d4e92520b3121a2bae7958b5fb07, 7566142f9b8d704a268ac4920a1e2e531af0b923, 46a14ebd2e61f2b71d466702ccb142320d44867c, 1427dbaa99d145ac995609910c9a9ede6901f01e, a993f35269030b98083f808941f5159c67dea50b, b49475ada789b21416865c1ce3451aa8af109995, 24e58a06fae74a2028c4085782649d6eb4188140, 40d6ee0c716b6a26f0b212358a23a61ab8bf9a18, 53d3d7dbb9efdf1b37f96655d09fdb734d6102fb, 1f080173ef83ec99e45a0cdfa46b41934e00da09, 913425c4dc79097b77da2fa40e63417343dfe3f2, f5f7e04ffc18db784002c0318cfcb51fecdc3ca9, 35679a2027f98b16f1621282cc4ca1f7c065622d, a668e415fdcc869ebab82baf374cf30480beb963, c9b1d66c70eec2a4b4bf72afdae56a7cc766107c, dfb8230f14a8d0d643179a93b924957b0262cbdd, 200bbdd63e4faf1a2fe7b2bfc8136ce340efd2d8, 5b3b4fd5cb0d4b828945da0d64f4ecf6b3629a66, 4aa937f39c2bd710055b7940ae41d7c776515d55, 0df95e1ec16fd1e88026b442b89af0a8b4bf4254, 3f7d4e4f27af2fdf46de7d541113eab05ecbfbba, 8ff224edde52e8eb044da0f5bb1610bbb7662206, 0348e2ff2440c05cfc57518fa638a17283caad23, b6bc6e73cbcd0284ec9e0685b35deb1a9224f5e0, 71891f0334aa321725a3402cec302fdda1ddece2, bf2c6d09005b2fe75514ee87f0997b9c8c951591, 4dd82e5e151c1fc336c93c4f91b6d8f1af7951f1, 635d05c4b72e155415c46d3861adf87382188190, 433ebe82173f5d8e0ab8300d71567a1b5bc78239, 499ab1efa1905e0c0fb7ad26029b240f5f0131cc, c5c338054081f5aee9cb16ce5b87f5d7c552d0fe, b87f878ad222dc8db6f2b5c7403f42a72927496c, 16f55172637602f83813babf1c805fbe34cba1e9]","34","2","16f55172637602f83813babf1c805fbe34cba1e9"
"https://github.com/oneclickorgs/one-click-orgs.git","92","3","[63ff740f6e312abb1d0540df18dfdc25184b3e0b, 4c1e52bc15d8fc1dee31d80739e485019a2be383, be58224cc07755a9982f1497ed477592328bb10b]","292","57","be58224cc07755a9982f1497ed477592328bb10b"
"https://github.com/oneclickorgs/one-click-orgs.git","95","32","[950064818004245f6399015fc10836f422f59e8a, 489eab7865534940161de7cc0d117ea1772544bd, e71b69c80f9b64348303e3086f64c889c163447a, a4967721b011ad316ef39cbd81d7b9739e73490d, 16a9d050d034e8638fa09a92b51419a8f653e79e, a027917ed256d4e92520b3121a2bae7958b5fb07, 7566142f9b8d704a268ac4920a1e2e531af0b923, 46a14ebd2e61f2b71d466702ccb142320d44867c, 1427dbaa99d145ac995609910c9a9ede6901f01e, a993f35269030b98083f808941f5159c67dea50b, b49475ada789b21416865c1ce3451aa8af109995, 24e58a06fae74a2028c4085782649d6eb4188140, 40d6ee0c716b6a26f0b212358a23a61ab8bf9a18, 53d3d7dbb9efdf1b37f96655d09fdb734d6102fb, 1f080173ef83ec99e45a0cdfa46b41934e00da09, 913425c4dc79097b77da2fa40e63417343dfe3f2, f5f7e04ffc18db784002c0318cfcb51fecdc3ca9, 35679a2027f98b16f1621282cc4ca1f7c065622d, a668e415fdcc869ebab82baf374cf30480beb963, c9b1d66c70eec2a4b4bf72afdae56a7cc766107c, dfb8230f14a8d0d643179a93b924957b0262cbdd, 200bbdd63e4faf1a2fe7b2bfc8136ce340efd2d8, 5b3b4fd5cb0d4b828945da0d64f4ecf6b3629a66, 4aa937f39c2bd710055b7940ae41d7c776515d55, 0df95e1ec16fd1e88026b442b89af0a8b4bf4254, 3f7d4e4f27af2fdf46de7d541113eab05ecbfbba, 8ff224edde52e8eb044da0f5bb1610bbb7662206, 0348e2ff2440c05cfc57518fa638a17283caad23, b6bc6e73cbcd0284ec9e0685b35deb1a9224f5e0, 71891f0334aa321725a3402cec302fdda1ddece2, bf2c6d09005b2fe75514ee87f0997b9c8c951591, 4dd82e5e151c1fc336c93c4f91b6d8f1af7951f1]","32","2","4dd82e5e151c1fc336c93c4f91b6d8f1af7951f1"
"https://github.com/oneclickorgs/one-click-orgs.git","97","31","[950064818004245f6399015fc10836f422f59e8a, 489eab7865534940161de7cc0d117ea1772544bd, e71b69c80f9b64348303e3086f64c889c163447a, a4967721b011ad316ef39cbd81d7b9739e73490d, 16a9d050d034e8638fa09a92b51419a8f653e79e, a027917ed256d4e92520b3121a2bae7958b5fb07, 7566142f9b8d704a268ac4920a1e2e531af0b923, 46a14ebd2e61f2b71d466702ccb142320d44867c, 1427dbaa99d145ac995609910c9a9ede6901f01e, a993f35269030b98083f808941f5159c67dea50b, b49475ada789b21416865c1ce3451aa8af109995, 24e58a06fae74a2028c4085782649d6eb4188140, 40d6ee0c716b6a26f0b212358a23a61ab8bf9a18, 53d3d7dbb9efdf1b37f96655d09fdb734d6102fb, 1f080173ef83ec99e45a0cdfa46b41934e00da09, 913425c4dc79097b77da2fa40e63417343dfe3f2, f5f7e04ffc18db784002c0318cfcb51fecdc3ca9, 35679a2027f98b16f1621282cc4ca1f7c065622d, a668e415fdcc869ebab82baf374cf30480beb963, c9b1d66c70eec2a4b4bf72afdae56a7cc766107c, dfb8230f14a8d0d643179a93b924957b0262cbdd, 200bbdd63e4faf1a2fe7b2bfc8136ce340efd2d8, 5b3b4fd5cb0d4b828945da0d64f4ecf6b3629a66, 4aa937f39c2bd710055b7940ae41d7c776515d55, 0df95e1ec16fd1e88026b442b89af0a8b4bf4254, 3f7d4e4f27af2fdf46de7d541113eab05ecbfbba, 8ff224edde52e8eb044da0f5bb1610bbb7662206, 0348e2ff2440c05cfc57518fa638a17283caad23, b6bc6e73cbcd0284ec9e0685b35deb1a9224f5e0, 71891f0334aa321725a3402cec302fdda1ddece2, bf2c6d09005b2fe75514ee87f0997b9c8c951591]","28","2","bf2c6d09005b2fe75514ee87f0997b9c8c951591"
"https://github.com/oneclickorgs/one-click-orgs.git","100","2","[f952065e3dd49da1b84962b594657dffe2ef52e0, 2c92adb7d1a5b2f41e341e9a748b3e7d31108877]","6","2","2c92adb7d1a5b2f41e341e9a748b3e7d31108877"
"https://github.com/oneclickorgs/one-click-orgs.git","120","5","[d432bfaaa07094fed4c021116fe5dc4c67239007, 07267a1ed4ab775fe79392cc4006b0d23fa57bae, b2b9a0d0d6c5ea23e42e4129b7a1d9e5880d76a1, d434835c82e2d12b9a226cb0a8e9d3f1244d26ce, 779a59c11abff8f9b67c02174901ce422aab2f7a]","18","3","779a59c11abff8f9b67c02174901ce422aab2f7a"
"https://github.com/oneclickorgs/one-click-orgs.git","123","40","[f28ac4237bd937e55ac61ba4e8ccd1b76f9c8b29, d1e123f0b2e2a4550c7625215d4c37cd30afe9f3, 2d8d94df703a5fb252717a07fde754d31e68483b, 64eed4788f102e3ca7b221071052b7e1b63b4d8c, 22db9a7e2d830efd2a6c9058f0d5f33d03031236, 7ccbbc1e83493edd71bab43a7137cb38813c0ffb, 3aee4b0ab9e9bc54b2666a965ecb58b6e0950a60, 9f83156bc7bf55351e24bf902fe28d5baa195266, dfadcdc06e8b062bc0ea7cac230f9b9e7589bb19, 848d3c6a47fda4bc3186c2e0a8d83b66c182b51f, f0d2dca928461d65d67bd2d440a5b27be0caf74b, 7a2052c74fe99846a4bbd0104c56195f8578cb89, a71de28a884595b51054cb043b731356513d283b, 7d91cff9423163942248bc9b036fa8e97d9aba6b, 5d53b93b9aba02d9277809dc74a407e6f5aab5f6, 76df81bd01b75d13b3d67d0a9a9f9bf8a1529476, bfb45cb0377783cd1dee54171acab7d92d4f7843, dee422eab25c022a6790d935d5b44097714c9f81, 5c26600831d9887104851286dabc9850ec2589d2, 98eedf7e72d941a0e27018bb600f4946158881a7, 3e1db95f6672e42cfc7c2f1f801313ae9dcf8d1b, a6182df17d1bbcfdca48754633b9db6222475c62, 84c0bef07401999407b6fa989f3d8cdffc9b0ebe, a3b531f78bc73b1546fec8f539ed8a000d1a72a9, 39b6732d547d3fe014cf17e6f16b0c10f6eb6a1b, d14970c11758b0828dc12d887bac55a3fe489068, d81b453479bf8488919ce61643c893f8df3f7c23, 6fcd4ed2ed536e0204e076104b231d16bab9cd46, b856fc8185f450791db93f4cd9487cee00a2ef4f, b48f1194783ef24671e7e11893381bce9db5e34d, 560524e33e34edcf2330088c943713a981cdc0a1, 278ac84d27b4298ebc1408c0a2e43d1ef6ca6bdc, b0b2065f62ccb5ae52e142834dd938cf590eaff5, 646e2857b4b669282cfd5eb4dc9680d8be1c37d6, 2435b686e888af5ac3746fd4688b3e3512845636, a9b5d2ea875b39b327c36407b393e55e55d70e70, b8cdc94abd780e3e988e94a9d95e4bbe4fe6e5b9, 810f8e2d15590bbb3bd01a8627f32d06d6e601db, 6048d89dcc33acdf1df66697db9e94d808a4299a, e832ca286eb17bcbc5d2efa218c06026af25c81a]","17","3","e832ca286eb17bcbc5d2efa218c06026af25c81a"
"https://github.com/oneclickorgs/one-click-orgs.git","137","21","[801902b997983a13f706d55cb8e4aab986d49ffa, 366cae64d14df4596f8449c7fbbe12fea9f0b273, d27b7787864a766d180bc19b99eb4fb84bb72ba4, 684079c9a0dcf92999c1c7993cc6e01c4fa18cdc, a193a1c26fcc14396a2aedf8bbdd69e7ac31420a, 2db37009e9426c422f3462ae0b90d17a617e77b7, 29f9adccbc56b4dbcfcc76b727eabde65fdbdb81, b279a5f64d277a71fc81ca47323e5b9254da788e, 4fb46e64948dcda88bf2efb39f9d40279611a410, 1edf0b62a703887bcf7f32d32b6434aa3badb283, 09c1c6341362621100a76722ec931752121f1571, 0b2a2cd9a24db088c21faf13275d3915e5b0ef22, 1d66e20b95432571879f61cae61abf68b76a85d1, a931196f942d38e68c4282193917878888b22d20, da19022a25202bfdf4948a580bccc02809647626, 24de48cbe403c0331a7f3799bc396d3dea9eb91b, 4136a29224bb9fd34f311eb2eb3f02d2c902c830, 6b47668250a91d224cba04a7bd4757fc93557006, 7ed3ce5415e78d8c288eb44f5c27c0d14e5fa88b, ac16c44576c97bc85042a04c5596ed6674ec2311, 3b14dd362ecbeaff37304db91de3f9fbba4b0505]","66","5","3b14dd362ecbeaff37304db91de3f9fbba4b0505"
